clockticks,wolves,moose,squirrels,wolf_births,wolf_starved,wolf_old_age,moose_eaten,moose_births,moose_starved,moose_old_age,squirrels_born,squirrels_eaten,squirrels_starved,squirrels_old_age,vegetation_fraction
131.0,0.0,18334.0,2739.0,0.0,0.0,0.0,0.0,332.0,105.0,5.0,95.0,41.0,109.0,0.0,40.86
132.0,0.0,18513.0,2679.0,0.0,0.0,0.0,0.0,310.0,126.0,5.0,86.0,47.0,99.0,0.0,40.48
133.0,0.0,18692.0,2613.0,0.0,0.0,0.0,0.0,313.0,131.0,3.0,82.0,48.0,100.0,0.0,40.16
134.0,0.0,18854.0,2555.0,0.0,0.0,0.0,0.0,304.0,136.0,6.0,83.0,45.0,96.0,0.0,39.84
135.0,0.0,19016.0,2488.0,0.0,0.0,0.0,0.0,313.0,146.0,5.0,73.0,50.0,90.0,0.0,39.57
136.0,0.0,19169.0,2411.0,0.0,0.0,0.0,0.0,296.0,138.0,5.0,64.0,34.0,107.0,0.0,39.22
137.0,0.0,19299.0,2344.0,0.0,0.0,0.0,0.0,282.0,141.0,11.0,70.0,38.0,99.0,0.0,38.93
138.0,0.0,19418.0,2295.0,0.0,0.0,0.0,0.0,317.0,188.0,10.0,83.0,34.0,98.0,0.0,38.71
139.0,0.0,19628.0,2257.0,0.0,0.0,0.0,0.0,363.0,151.0,2.0,85.0,39.0,84.0,0.0,38.46
140.0,0.0,19832.0,2190.0,0.0,0.0,0.0,0.0,382.0,175.0,3.0,63.0,36.0,94.0,0.0,38.22
141.0,0.0,20075.0,2136.0,0.0,0.0,0.0,0.0,426.0,173.0,10.0,69.0,44.0,79.0,0.0,37.96
142.0,0.0,20342.0,2077.0,0.0,0.0,0.0,0.0,487.0,214.0,6.0,74.0,43.0,90.0,0.0,37.7
143.0,0.0,20606.0,2046.0,0.0,0.0,0.0,0.0,469.0,201.0,4.0,71.0,27.0,75.0,0.0,37.44
144.0,0.0,20816.0,1999.0,0.0,0.0,0.0,0.0,412.0,198.0,4.0,73.0,36.0,84.0,0.0,37.21
145.0,0.0,21007.0,1945.0,0.0,0.0,0.0,0.0,421.0,219.0,11.0,56.0,40.0,70.0,0.0,36.98
146.0,0.0,21284.0,1873.0,0.0,0.0,0.0,0.0,476.0,192.0,7.0,50.0,42.0,80.0,0.0,36.69
147.0,0.0,21430.0,1817.0,0.0,0.0,0.0,0.0,395.0,242.0,7.0,59.0,37.0,78.0,0.0,36.47
148.0,0.0,21648.0,1798.0,0.0,0.0,0.0,0.0,453.0,228.0,7.0,76.0,26.0,69.0,0.0,36.27
149.0,0.0,21816.0,1761.0,0.0,0.0,0.0,0.0,423.0,251.0,4.0,63.0,29.0,71.0,0.0,36.0
150.0,0.0,21912.0,1721.0,0.0,0.0,0.0,0.0,383.0,287.0,0.0,57.0,36.0,61.0,0.0,35.78
151.0,0.0,22003.0,1692.0,0.0,0.0,0.0,0.0,391.0,295.0,5.0,66.0,30.0,65.0,0.0,35.57
152.0,0.0,22080.0,1646.0,0.0,0.0,0.0,0.0,357.0,277.0,3.0,55.0,31.0,70.0,0.0,35.36
153.0,0.0,22154.0,1620.0,0.0,0.0,0.0,0.0,362.0,286.0,2.0,58.0,23.0,61.0,0.0,35.22
154.0,0.0,22201.0,1568.0,0.0,0.0,0.0,0.0,339.0,288.0,4.0,43.0,37.0,58.0,0.0,35.06
155.0,0.0,22249.0,1541.0,0.0,0.0,0.0,0.0,369.0,313.0,8.0,58.0,28.0,57.0,0.0,34.94
156.0,0.0,22279.0,1504.0,0.0,0.0,0.0,0.0,361.0,328.0,3.0,47.0,25.0,59.0,0.0,34.79
157.0,0.0,22285.0,1475.0,0.0,0.0,0.0,0.0,347.0,337.0,4.0,49.0,27.0,51.0,0.0,34.69
158.0,0.0,22278.0,1456.0,0.0,0.0,0.0,0.0,334.0,334.0,7.0,51.0,17.0,53.0,0.0,34.55
159.0,0.0,22278.0,1430.0,0.0,0.0,0.0,0.0,338.0,332.0,6.0,64.0,30.0,60.0,0.0,34.42
160.0,0.0,22308.0,1390.0,0.0,0.0,0.0,0.0,392.0,359.0,3.0,34.0,26.0,48.0,0.0,34.28
161.0,0.0,22455.0,1380.0,0.0,0.0,0.0,0.0,480.0,330.0,3.0,63.0,23.0,50.0,0.0,34.19
162.0,0.0,22607.0,1347.0,0.0,0.0,0.0,0.0,502.0,347.0,3.0,43.0,24.0,52.0,0.0,34.1
163.0,0.0,22720.0,1302.0,0.0,0.0,0.0,0.0,489.0,370.0,6.0,32.0,26.0,51.0,0.0,34.0
164.0,0.0,22799.0,1283.0,0.0,0.0,0.0,0.0,469.0,387.0,3.0,43.0,19.0,43.0,0.0,33.93
165.0,0.0,22884.0,1271.0,0.0,0.0,0.0,0.0,481.0,395.0,1.0,50.0,21.0,41.0,0.0,33.84
166.0,0.0,22948.0,1225.0,0.0,0.0,0.0,0.0,448.0,383.0,1.0,30.0,30.0,46.0,0.0,33.75
167.0,0.0,23037.0,1197.0,0.0,0.0,0.0,0.0,467.0,374.0,4.0,39.0,26.0,41.0,0.0,33.71
168.0,0.0,23074.0,1173.0,0.0,0.0,0.0,0.0,436.0,397.0,2.0,43.0,27.0,40.0,0.0,33.62
169.0,0.0,23127.0,1147.0,0.0,0.0,0.0,0.0,456.0,398.0,5.0,42.0,25.0,43.0,0.0,33.51
170.0,0.0,23102.0,1122.0,0.0,0.0,0.0,0.0,398.0,419.0,4.0,40.0,28.0,37.0,0.0,33.4
171.0,0.0,23105.0,1092.0,0.0,0.0,0.0,0.0,383.0,378.0,2.0,34.0,22.0,42.0,0.0,33.34
172.0,0.0,23058.0,1064.0,0.0,0.0,0.0,0.0,346.0,393.0,0.0,32.0,20.0,40.0,0.0,33.27
173.0,0.0,23028.0,1041.0,0.0,0.0,0.0,0.0,396.0,426.0,0.0,32.0,14.0,41.0,0.0,33.18
174.0,0.0,22956.0,1015.0,0.0,0.0,0.0,0.0,376.0,446.0,2.0,34.0,20.0,40.0,0.0,33.14
175.0,0.0,22892.0,990.0,0.0,0.0,0.0,0.0,366.0,428.0,2.0,26.0,15.0,36.0,0.0,33.1
176.0,0.0,22876.0,974.0,0.0,0.0,0.0,0.0,379.0,394.0,1.0,35.0,23.0,28.0,0.0,33.04
177.0,0.0,22815.0,967.0,0.0,0.0,0.0,0.0,365.0,425.0,1.0,35.0,16.0,26.0,0.0,32.99
178.0,0.0,22726.0,961.0,0.0,0.0,0.0,0.0,356.0,442.0,3.0,46.0,20.0,32.0,0.0,32.96
179.0,0.0,22631.0,935.0,0.0,0.0,0.0,0.0,329.0,423.0,1.0,23.0,16.0,33.0,0.0,32.91
180.0,0.0,22540.0,914.0,0.0,0.0,0.0,0.0,352.0,442.0,1.0,35.0,18.0,38.0,0.0,32.93
181.0,0.0,22493.0,887.0,0.0,0.0,0.0,0.0,399.0,441.0,5.0,27.0,14.0,40.0,0.0,32.87
182.0,0.0,22511.0,863.0,0.0,0.0,0.0,0.0,463.0,444.0,1.0,29.0,17.0,36.0,0.0,32.84
183.0,0.0,22540.0,850.0,0.0,0.0,0.0,0.0,497.0,468.0,0.0,31.0,16.0,28.0,0.0,32.82
184.0,0.0,22532.0,827.0,0.0,0.0,0.0,0.0,488.0,496.0,0.0,30.0,18.0,35.0,0.0,32.8
185.0,0.0,22514.0,817.0,0.0,0.0,0.0,0.0,435.0,450.0,3.0,32.0,11.0,31.0,0.0,32.78
186.0,0.0,22538.0,802.0,0.0,0.0,0.0,0.0,476.0,451.0,1.0,27.0,15.0,27.0,0.0,32.74
187.0,0.0,22496.0,781.0,0.0,0.0,0.0,0.0,410.0,450.0,2.0,25.0,17.0,29.0,0.0,32.71
188.0,0.0,22502.0,773.0,0.0,0.0,0.0,0.0,446.0,438.0,2.0,39.0,16.0,31.0,0.0,32.68
